path, href
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s136a.html#building_code
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/ba200491/s136.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s136a.html#building_code
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s136a.html#building_code
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s136a.html#building_code
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s142a.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/RATES ACT 2004/index.html, s4.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/RATES ACT 2004/index.html, s8.html#rateable_land
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/RATES ACT 2004/index.html, s13a.html#average_unimproved_value
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/RATES ACT 2004/index.html, s5.html#intention
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/RATES ACT 2004/index.html, s40c.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s4.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s6.html#betting
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s6.html#unlawful_betting
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s7.html#unlawful_game
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s8.html#unlawful_gambling
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s9.html#exempt_game
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s10.html#exempt_private_game
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s5.html#conduct
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s5.html#conduct
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s8.html#unlawful_gambling
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s5.html#conduct
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s8.html#unlawful_gambling
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s8.html#unlawful_gambling
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s8.html#unlawful_gambling
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s8.html#unlawful_gambling
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s8.html#unlawful_gambling
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s8.html#unlawful_gambling
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/UNLAWFUL GAMBLING ACT 2009/index.html, s5.html#conduct
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s3.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s4.html#adult
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s4.html#child
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s4b.html#birth_parent
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s6.html#birth_registration_statement
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s4.html#child
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s4.html#child
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s4.html#child
